NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,TEAM
31.0,Vlatko Čančar,PF,6-8,236.0,1997-04-10,SI SI,4,,DEN
21.0,Spencer Jones (TW),SF,6-7,225.0,2001-06-14,US US,R,Stanford,DEN
,DaRon Holmes,PF,6-9,225.0,2002-08-15,US US,R,Dayton,DEN
,PJ Hall (TW),C,6-8,245.0,2002-02-21,US US,R,Clemson,DEN
2.0,Cade Cunningham,PG,6-6,220.0,2001-09-25,US US,3,Oklahoma State,DET
23.0,Jaden Ivey,SG,6-4,195.0,2002-02-13,US US,2,Purdue,DET
8.0,Tim Hardaway Jr.,SG,6-5,205.0,1992-03-16,US US,11,Michigan,DET
12.0,Tobias Harris,PF,6-8,226.0,1992-07-15,US US,13,Tennessee,DET
5.0,Malik Beasley,SG,6-4,187.0,1996-11-26,US US,8,Florida State,DET
0.0,Jalen Duren,C,6-10,250.0,2003-11-18,US US,2,Memphis,DET
0.0,Ron Holland,SF,6-8,206.0,2005-07-07,US US,R,,DET
19.0,Simone Fontecchio,SF,6-8,209.0,1995-12-09,IT IT,2,,DET
28.0,Isaiah Stewart,C,6-8,250.0,2001-05-22,US US,4,Washington,DET
25.0,Marcus Sasser,PG,6-2,195.0,2000-09-21,US US,1,Houston,DET
7.0,Paul Reed,PF,6-9,210.0,1999-06-14,US US,4,DePaul,DET
14.0,Wendell Moore Jr.,SG,6-5,213.0,2001-09-18,US US,2,Duke,DET
24.0,Daniss Jenkins (TW),PG,6-3,165.0,2001-08-17,US US,R,"University of the Pacific, Iona College, St. John's",DET
,Bobi Klintman,SF,6-9,225.0,2003-03-06,SE SE,R,Wake Forest,DET
,Ausar Thompson,SF,6-7,215.0,2003-01-30,US US,1,,DET
,Cole Swider (TW),SF,6-9,220.0,1999-05-08,US US,2,"Villanova, Syracuse",DET
,Alondes Williams (TW),SG,6-4,210.0,1999-06-19,US US,2,"Triton College, Oklahoma, Wake Forest",DET
7.0,Buddy Hield,SG,6-4,220.0,1992-12-17,BS BS,8,Oklahoma,GSW
0.0,Jonathan Kuminga,PF,6-8,210.0,2002-10-06,CD CD,3,,GSW
4.0,Moses Moody,SG,6-6,205.0,2002-05-31,US US,3,Arkansas,GSW
32.0,Trayce Jackson-Davis,PF,6-9,245.0,2000-02-22,US US,1,Indiana,GSW
23.0,Draymond Green,PF,6-6,230.0,1990-03-04,US US,12,Michigan State,GSW
1.0,Kyle Anderson,SF,6-9,230.0,1993-09-20,US US,10,UCLA,GSW
5.0,Kevon Looney,PF,6-9,222.0,1996-02-06,US US,9,UCLA,GSW
43.0,Lindy Waters III,SG,6-6,215.0,1997-07-28,US US,3,Oklahoma State,GSW
0.0,Gary Payton II,PG,6-2,190.0,1992-12-01,US US,8,Oregon State,GSW
2.0,Brandin Podziemski,SG,6-5,205.0,2003-02-25,US US,1,"Illinois, Santa Clara",GSW
22.0,Andrew Wiggins,SF,6-7,197.0,1995-02-23,CA CA,10,Kansas,GSW
30.0,Stephen Curry,PG,6-2,185.0,1988-03-14,US US,15,Davidson,GSW
15.0,Gui Santos,PF,6-8,209.0,2002-06-22,BR BR,1,,GSW
8.0,De'Anthony Melton,PG,6-2,200.0,1998-05-28,US US,6,USC,GSW
3.0,Reece Beekman (TW),PG,6-1,190.0,2001-10-08,US US,R,Virginia,GSW
,Quinten Post (TW),PF,7-0,238.0,2000-03-21,NL NL,R,"Mississippi State, Boston College",GSW
4.0,Jalen Green,SG,6-4,178.0,2002-02-09,US US,3,,HOU
28.0,Alperen Sengun,C,6-11,235.0,2002-07-25,TR TR,3,,HOU
5.0,Fred VanVleet,PG,6-0,197.0,1994-02-25,US US,8,Wichita State,HOU
10.0,Jabari Smith Jr.,PF,6-11,220.0,2003-05-13,US US,2,Auburn,HOU
9.0,Dillon Brooks,SG,6-6,225.0,1996-01-22,CA CA,7,Oregon,HOU
17.0,Tari Eason,SF,6-8,216.0,2001-05-10,US US,2,"Cincinnati, LSU",HOU
1.0,Amen Thompson,SF,6-7,209.0,2003-01-30,US US,1,,HOU
15.0,Reed Sheppard,SG,6-2,185.0,2004-06-24,US US,R,Kentucky,HOU
7.0,Cam Whitmore,SF,6-7,232.0,2004-07-08,US US,1,Villanova,HOU
2.0,Jock Landale,C,6-11,256.0,1995-10-25,AU AU,3,Saint Mary's,HOU
12.0,Steven Adams,C,6-11,265.0,1993-07-20,NZ NZ,10,Pitt,HOU
0.0,Aaron Holiday,PG,6-0,185.0,1996-09-30,US US,6,UCLA,HOU
32.0,Jeff Green,PF,6-8,235.0,1986-08-28,US US,16,Georgetown,HOU
8.0,Jae'Sean Tate,SF,6-4,230.0,1995-10-28,US US,4,Ohio State,HOU
19.0,Jeenathan Williams (TW),SG,6-5,205.0,1999-02-12,US US,2,Buffalo,HOU
58.0,Jack McVeigh (TW),PF,6-8,215.0,1996-06-27,AU AU,R,Nebraska,HOU
,N'Faly Dante (TW),C,6-11,230.0,2001-10-19,ML ML,R,Oregon,HOU
43.0,Pascal Siakam,PF,6-8,230.0,1994-04-02,CM CM,8,New Mexico State,IND
0.0,Bennedict Mathurin,SG,6-6,210.0,2002-06-19,CA CA,2,Arizona,IND
0.0,Tyrese Haliburton,PG,6-5,185.0,2000-02-29,US US,4,Iowa State,IND
1.0,Obi Toppin,PF,6-9,220.0,1998-03-04,US US,4,Dayton,IND
9.0,T.J. McConnell,PG,6-1,190.0,1992-03-25,US US,9,"Duquesne, Arizona",IND
26.0,Ben Sheppard,SG,6-6,190.0,2001-07-16,US US,1,Belmont,IND
5.0,Jarace Walker,PF,6-8,240.0,2003-09-04,US US,1,Houston,IND
33.0,Myles Turner,C,6-11,250.0,1996-03-24,US US,9,Texas,IND
2.0,Andrew Nembhard,SG,6-5,193.0,2000-01-16,CA CA,2,"Florida, Gonzaga",IND
23.0,Aaron Nesmith,SF,6-5,215.0,1999-10-16,US US,4,Vanderbilt,IND
22.0,Isaiah Jackson,PF,6-10,206.0,2002-01-10,US US,3,Kentucky,IND
8.0,Enrique Freeman (TW),PF,6-7,206.0,2000-07-29,US US,R,University of Akron,IND
13.0,James Wiseman,C,7-0,240.0,2001-03-31,US US,3,Memphis,IND
29.0,Quenton Jackson (TW),PG,6-5,175.0,1998-09-15,US US,2,Texas A&M,IND
16.0,James Johnson,PF,6-7,240.0,1987-02-20,US US,15,Wake Forest,IND
12.0,Johnny Furphy,SG,6-8,200.0,2004-12-08,AU AU,R,Kansas,IND
,Tristen Newton (TW),SG,6-5,190.0,2001-04-26,US US,R,"East Carolina University, UConn",IND
24.0,Norman Powell,SG,6-3,215.0,1993-05-25,US US,9,UCLA,LAC
1.0,James Harden,SG,6-5,220.0,1989-08-26,US US,15,Arizona State,LAC
40.0,Ivica Zubac,C,7-0,240.0,1997-03-18,BA BA,8,,LAC
55.0,Derrick Jones Jr.,SF,6-5,210.0,1997-02-15,US US,8,UNLV,LAC
7.0,Amir Coffey,SG,6-7,210.0,1997-06-17,US US,5,Minnesota,LAC
8.0,Kris Dunn,PG,6-3,205.0,1994-03-18,US US,8,Providence,LAC
77.0,Kevin Porter Jr.,SG,6-4,203.0,2000-05-04,US US,4,USC,LAC
14.0,Terance Mann,SG,6-5,215.0,1996-10-18,US US,5,Florida State,LAC
33.0,Nicolas Batum,SF,6-8,230.0,1988-12-14,FR FR,16,,LAC
23.0,Kai Jones (TW),C,6-11,218.0,2001-01-19,BS BS,2,Texas,LAC
5.0,Bones Hyland,PG,6-2,173.0,2000-09-14,US US,3,VCU,LAC
21.0,Kobe Brown,PF,6-7,250.0,2000-01-01,US US,1,Missouri,LAC
,Trentyn Flowers (TW),SF,6-7,185.0,2005-03-08,US US,R,,LAC
,Cam Christie,SG,6-5,190.0,2005-07-24,US US,R,Minnesota,LAC
,Mo Bamba,C,7-0,231.0,1998-05-12,US US,6,Texas,LAC
,Kawhi Leonard,SF,6-7,225.0,1991-06-29,US US,12,San Diego State,LAC
,P.J. Tucker,SF,6-5,245.0,1985-05-05,US US,13,Texas,LAC
23.0,LeBron James,SF,6-9,250.0,1984-12-30,US US,21,,LAL
15.0,Austin Reaves,SG,6-5,206.0,1998-05-29,US US,3,"Wichita State, Oklahoma",LAL
1.0,D'Angelo Russell,PG,6-3,193.0,1996-02-23,US US,9,Ohio State,LAL
4.0,Dalton Knecht,SF,6-5,215.0,2001-04-19,US US,R,"Northeastern Junior College, University of Northern Colorado, Tennessee",LAL
11.0,Jaxson Hayes,C,7-0,220.0,2000-05-23,US US,5,Texas,LAL
12.0,Max Christie,SG,6-6,190.0,2003-02-10,US US,2,Michigan State,LAL
7.0,Gabe Vincent,PG,6-3,195.0,1996-06-14,US US,5,UC Santa Barbara,LAL
3.0,Anthony Davis,PF,6-10,253.0,1993-03-11,US US,12,Kentucky,LAL
28.0,Rui Hachimura,PF,6-8,230.0,1998-02-08,JP JP,5,Gonzaga,LAL
9.0,Bronny James,SG,6-2,210.0,2004-10-06,US US,R,USC,LAL
5.0,Cam Reddish,SF,6-8,218.0,1999-09-01,US US,5,Duke,LAL
10.0,Christian Koloko (TW),C,7-1,230.0,2000-06-20,CM CM,1,Arizona,LAL
,Jarred Vanderbilt,PF,6-8,214.0,1999-04-03,US US,6,Kentucky,LAL
,Armel Traoré (TW),SF,6-8,215.0,2003-01-23,FR FR,R,,LAL
,Christian Wood,PF,6-8,214.0,1995-09-27,US US,8,UNLV,LAL
,Jalen Hood-Schifino,SG,6-6,215.0,2003-06-19,US US,1,Indiana,LAL
,Quincy Olivari (TW),PG,6-3,198.0,2001-05-27,US US,R,"Rice University, Xavier",LAL
,Maxwell Lewis,SF,6-7,195.0,2002-07-27,US US,1,Pepperdine,LAL
7.0,Santi Aldama,PF,6-11,224.0,2001-01-10,ES ES,3,Loyola (MD),MEM
1.0,Scotty Pippen Jr.,PG,6-1,185.0,2000-11-10,US US,2,Vanderbilt,MEM
0.0,Jaylen Wells,SF,6-7,206.0,2003-08-26,US US,R,"Sonoma State University, Washington State",MEM
14.0,Zach Edey,C,7-4,305.0,2002-05-14,CA CA,R,Purdue,MEM
30.0,Jay Huff,C,7-1,240.0,1998-08-25,US US,3,Virginia,MEM
3.0,Jake LaRavia,PF,6-8,235.0,2001-11-03,US US,2,"Indiana State University, Wake Forest",MEM
15.0,Brandon Clarke,PF,6-8,215.0,1996-09-19,CA CA,5,"San Jose State, Gonzaga",MEM
12.0,Ja Morant,PG,6-2,174.0,1999-08-10,US US,5,Murray State,MEM
13.0,Jaren Jackson Jr.,C,6-10,242.0,1999-09-15,US US,6,Michigan State,MEM
17.0,Yuki Kawamura (TW),PG,5-8,159.0,2001-05-02,JP JP,R,,MEM
22.0,Desmond Bane,SG,6-5,215.0,1998-06-25,US US,4,TCU,MEM
36.0,Marcus Smart,PG,6-3,220.0,1994-03-06,US US,10,Oklahoma State,MEM
46.0,John Konchar,SG,6-5,210.0,1996-03-22,US US,5,Purdue-Fort Wayne,MEM
8.0,Colin Castleton (TW),C,6-11,250.0,2000-05-25,US US,1,"Michigan, Florida",MEM
10.0,Luke Kennard,SG,6-5,206.0,1996-06-24,US US,7,Duke,MEM
,Cam Spencer (TW),SG,6-3,205.0,2000-04-06,US US,R,"Loyola (MD), Rutgers University, UConn",MEM
,GG Jackson II,PF,6-9,215.0,2004-12-17,US US,1,South Carolina,MEM
,Vince Williams Jr.,SG,6-4,205.0,2000-08-30,US US,2,VCU,MEM
14.0,Tyler Herro,SG,6-5,195.0,2000-01-20,US US,5,Kentucky,MIA
22.0,Jimmy Butler,SF,6-7,230.0,1989-09-14,US US,13,"Tyler Junior College, Marquette",MIA
13.0,Bam Adebayo,C,6-9,255.0,1997-07-18,US US,7,Kentucky,MIA
2.0,Terry Rozier,PG,6-1,190.0,1994-03-17,US US,9,Louisville,MIA
5.0,Nikola Jović,PF,6-10,209.0,2003-06-09,GB GB,2,,MIA
55.0,Duncan Robinson,SF,6-7,215.0,1994-04-22,US US,6,"Williams, Michigan",MIA
31.0,Thomas Bryant,C,6-10,248.0,1997-07-31,US US,7,Indiana,MIA
11.0,Jaime Jaquez Jr.,SF,6-6,225.0,2001-02-18,US US,1,UCLA,MIA
24.0,Haywood Highsmith,SF,6-7,220.0,1996-12-09,US US,4,Wheeling University,MIA
18.0,Alec Burks,SG,6-6,214.0,1991-07-20,US US,13,Colorado,MIA
9.0,Pelle Larsson,SG,6-5,215.0,2001-02-23,SE SE,R,"Utah, Arizona",MIA
12.0,Dru Smith (TW),SG,6-3,203.0,1997-12-30,US US,2,"University of Evansville, Missouri",MIA
7.0,Kel'el Ware,C,7-0,230.0,2004-04-20,US US,R,"Oregon, Indiana",MIA
0.0,Josh Richardson,SG,6-5,200.0,1993-09-15,US US,9,Tennessee,MIA
,Keshad Johnson (TW),SF,6-6,225.0,2001-06-23,US US,R,"San Diego State, Arizona",MIA
,Kevin Love,PF,6-8,251.0,1988-09-07,US US,16,UCLA,MIA
,Josh Christopher (TW),SG,6-5,215.0,2001-12-08,US US,2,Arizona State,MIA
0.0,Damian Lillard,PG,6-2,195.0,1990-07-15,US US,12,Weber State,MIL
9.0,Bobby Portis,PF,6-10,250.0,1995-02-10,US US,9,Arkansas,MIL
11.0,Brook Lopez,C,7-1,282.0,1988-04-01,US US,16,Stanford,MIL
12.0,Taurean Prince,PF,6-6,218.0,1994-03-22,US US,8,Baylor,MIL
5.0,Gary Trent Jr.,SG,6-5,209.0,1999-01-18,US US,6,Duke,MIL
24.0,Pat Connaughton,SG,6-5,209.0,1993-01-06,US US,9,Notre Dame,MIL
55.0,Delon Wright,PG,6-5,185.0,1992-04-26,US US,9,Utah,MIL
34.0,Giannis Antetokounmpo,PF,6-11,242.0,1994-12-06,GR GR,11,,MIL
20.0,A.J. Green,SG,6-4,200.0,1999-09-27,US US,2,University of Northern Iowa,MIL
44.0,Andre Jackson Jr.,SG,6-6,210.0,2001-11-13,US US,1,UConn,MIL
3.0,MarJon Beauchamp,SF,6-6,199.0,2000-10-12,US US,2,Yakima Valley Community College,MIL
21.0,Tyler Smith,PF,6-11,224.0,2004-11-02,US US,R,,MIL
77.0,AJ Johnson,SG,6-4,160.0,2004-12-01,US US,R,,MIL
15.0,Liam Robbins (TW),C,7-0,250.0,1999-07-12,US US,R,"Drake University, Minnesota, Vanderbilt",MIL
,Chris Livingston,SF,6-6,220.0,2003-10-15,US US,1,Kentucky,MIL
,Khris Middleton,SF,6-7,222.0,1991-08-12,US US,12,Texas A&M,MIL
,Stanley Umude (TW),SG,6-6,210.0,1999-04-12,US US,2,"South Dakota, Arkansas",MIL
5.0,Anthony Edwards,SG,6-4,225.0,2001-08-05,US US,4,Georgia,MIN
30.0,Julius Randle,PF,6-8,250.0,1994-11-29,US US,10,Kentucky,MIN
11.0,Naz Reid,C,6-9,264.0,1999-08-26,US US,5,LSU,MIN
27.0,Rudy Gobert,C,7-1,258.0,1992-06-26,FR FR,11,,MIN
0.0,Donte DiVincenzo,SG,6-4,203.0,1997-01-31,US US,6,Villanova,MIN
3.0,Jaden McDaniels,PF,6-9,185.0,2000-09-29,US US,4,Washington,MIN
9.0,Nickeil Alexander-Walker,SG,6-5,205.0,1998-09-02,CA CA,5,Virginia Tech,MIN
10.0,Mike Conley,PG,6-0,175.0,1987-10-11,US US,17,Ohio State,MIN
7.0,Joe Ingles,SF,6-9,220.0,1987-10-02,AU AU,10,,MIN
8.0,Josh Minott,SF,6-8,205.0,2002-11-25,US US,2,Memphis,MIN
4.0,Rob Dillingham,PG,6-1,176.0,2005-01-04,US US,R,Kentucky,MIN
35.0,PJ Dozier,SG,6-6,205.0,1996-10-25,US US,6,South Carolina,MIN
55.0,Luka Garza,PF,6-10,235.0,1998-12-27,US US,3,Iowa,MIN
0.0,Terrence Shannon Jr.,SG,6-6,215.0,2000-07-30,US US,R,"Texas Tech, Illinois",MIN
,Leonard Miller,SF,6-10,210.0,2003-11-26,CA CA,1,,MIN
,Jesse Edwards (TW),C,6-11,230.0,2000-03-18,NL NL,R,"West Virginia, Syracuse",MIN
,Daishen Nix (TW),PG,6-5,224.0,2002-02-13,US US,3,,MIN
14.0,Brandon Ingram,SF,6-8,190.0,1997-09-02,US US,8,Duke,NOP
15.0,Jose Alvarado,PG,6-0,179.0,1998-04-12,US US,3,Georgia Tech,NOP
21.0,Yves Missi,C,6-11,235.0,2004-05-14,BE BE,R,Baylor,NOP
4.0,Javonte Green,SG,6-4,205.0,1993-07-23,US US,5,Radford,NOP
50.0,Jeremiah Robinson-Earl,PF,6-9,230.0,2000-11-03,US US,3,Villanova,NOP
10.0,Daniel Theis,C,6-8,245.0,1992-04-04,DE DE,7,,NOP
24.0,Jordan Hawkins,SG,6-5,195.0,2002-04-29,US US,1,UConn,NOP
