NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,TEAM
28.0,Guerschon Yabusele,PF,6-8,260.0,1995-12-17,FR FR,2,,PHI
7.0,Kyle Lowry,PG,6-0,196.0,1986-03-25,US US,18,Villanova,PHI
23.0,Eric Gordon,SG,6-3,215.0,1988-12-25,US US,16,Indiana,PHI
20.0,Jared McCain,PG,6-2,195.0,2004-02-20,US US,R,Duke,PHI
1.0,KJ Martin,SF,6-6,215.0,2001-01-06,US US,4,,PHI
14.0,Ricky Council IV,SG,6-6,205.0,2001-08-03,US US,1,"Wichita State, Arkansas",PHI
30.0,Adem Bona,PF,6-8,235.0,2003-03-28,NG NG,R,UCLA,PHI
0.0,Reggie Jackson,PG,6-2,208.0,1990-04-16,IT IT,13,Boston College,PHI
8.0,Paul George,SF,6-8,220.0,1990-05-02,US US,14,Fresno State,PHI
11.0,Jeff Dowtin (TW),PG,6-3,185.0,1997-05-10,US US,3,Rhode Island,PHI
25.0,Lester Quiñones (TW),SG,6-5,208.0,2000-11-16,US US,2,Memphis,PHI
,Justin Edwards (TW),SG,6-6,203.0,2003-12-16,US US,R,Kentucky,PHI
,Joel Embiid,C,7-0,280.0,1994-03-16,CM CM,8,Kansas,PHI
1.0,Anfernee Simons,SG,6-3,181.0,1999-06-08,US US,6,,POR
9.0,Jerami Grant,PF,6-7,210.0,1994-03-12,US US,10,Syracuse,POR
2.0,Deandre Ayton,C,7-0,250.0,1998-07-23,BS BS,6,Arizona,POR
0.0,Scoot Henderson,PG,6-3,202.0,2004-02-03,US US,1,,POR
8.0,Deni Avdija,SF,6-9,210.0,2001-01-03,IL IL,4,,POR
33.0,Toumani Camara,PF,6-8,220.0,2000-05-08,BE BE,1,Dayton,POR
24.0,Kris Murray,SF,6-8,220.0,2000-08-19,US US,1,Iowa,POR
23.0,Donovan Clingan,C,7-2,280.0,2004-02-23,US US,R,UConn,POR
21.0,Rayan Rupert,SG,6-6,205.0,2004-05-31,FR FR,1,,POR
34.0,Jabari Walker,SF,6-9,215.0,2002-07-30,US US,2,Colorado,POR
5.0,Dalano Banton,SF,6-9,204.0,1999-11-07,CA CA,3,Nebraska,POR
26.0,Duop Reath,C,6-11,245.0,1996-06-26,SS SS,1,"Lee College, LSU",POR
,Matisse Thybulle,SG,6-5,201.0,1997-03-04,US US,5,Washington,POR
,Taze Moore (TW),SG,6-5,195.0,1998-06-29,US US,1,"Cal State-Bakersfield, Houston",POR
,Bryce McGowens (TW),SG,6-7,179.0,2002-11-08,US US,2,Nebraska,POR
,Justin Minaya (TW),SF,6-5,210.0,1999-03-26,US US,2,,POR
,Robert Williams,C,6-9,237.0,1997-10-17,US US,6,Texas A&M,POR
,Shaedon Sharpe,SG,6-6,200.0,2003-05-30,CA CA,2,Kentucky,POR
10.0,DeMar DeRozan,SG,6-6,220.0,1989-08-07,US US,15,USC,SAC
5.0,De'Aaron Fox,PG,6-3,185.0,1997-12-20,US US,7,Kentucky,SAC
11.0,Domantas Sabonis,C,6-10,240.0,1996-05-03,US US,8,Gonzaga,SAC
13.0,Keegan Murray,SF,6-8,215.0,2000-08-19,US US,2,Iowa,SAC
0.0,Malik Monk,SG,6-3,200.0,1998-02-04,US US,7,Kentucky,SAC
41.0,Trey Lyles,PF,6-9,234.0,1995-11-05,CA CA,9,Kentucky,SAC
23.0,Keon Ellis,SG,6-6,175.0,2000-01-08,US US,2,"Florida SouthWestern State College, Alabama",SAC
9.0,Kevin Huerter,SG,6-7,190.0,1998-08-27,US US,6,Maryland,SAC
25.0,Alex Len,C,7-0,250.0,1993-06-16,UA UA,11,Maryland,SAC
3.0,Jordan McLaughlin,PG,6-0,185.0,1996-04-09,US US,5,USC,SAC
7.0,Doug McDermott,SF,6-6,225.0,1992-01-03,US US,10,Creighton,SAC
20.0,Colby Jones,SG,6-6,205.0,2002-05-28,US US,1,Xavier,SAC
17.0,Isaac Jones (TW),PF,6-8,245.0,2000-07-11,US US,R,"Wenatchee Valley College, Idaho, Washington State",SAC
,Isaiah Crawford (TW),SF,6-6,220.0,2001-11-01,US US,R,Louisiana Tech,SAC
,Devin Carter,PG,6-2,195.0,2002-03-18,US US,R,"South Carolina, Providence",SAC
,Orlando Robinson,C,7-0,235.0,2000-07-10,US US,2,Fresno State,SAC
1.0,Victor Wembanyama,PF,7-4,209.0,2004-01-04,FR FR,1,,SAS
0.0,Keldon Johnson,SF,6-5,220.0,1999-10-11,US US,5,Kentucky,SAS
3.0,Chris Paul,PG,6-0,175.0,1985-05-06,US US,19,Wake Forest,SAS
30.0,Julian Champagnie,SF,6-8,220.0,2001-06-29,US US,2,St. John's,SAS
40.0,Harrison Barnes,SF,6-8,225.0,1992-05-30,US US,12,UNC,SAS
22.0,Malaki Branham,SG,6-4,180.0,2003-05-12,US US,2,Ohio State,SAS
5.0,Stephon Castle,PG,6-6,215.0,2004-11-01,US US,R,UConn,SAS
23.0,Zach Collins,PF,6-11,250.0,1997-11-19,US US,6,Gonzaga,SAS
10.0,Jeremy Sochan,PF,6-8,230.0,2003-05-20,US US,2,Baylor,SAS
14.0,Blake Wesley,SG,6-5,185.0,2003-03-16,US US,2,Notre Dame,SAS
54.0,Sandro Mamukelashvili,PF,6-11,240.0,1999-05-23,US US,3,Seton Hall,SAS
28.0,Charles Bassey,C,6-10,235.0,2000-10-28,NG NG,3,Western Kentucky,SAS
25.0,Sidy Cissoko,SF,6-8,200.0,2004-04-02,FR FR,1,,SAS
33.0,Tre Jones,PG,6-1,185.0,2000-01-08,US US,4,Duke,SAS
7.0,David Duke Jr. (TW),SG,6-5,205.0,1999-10-13,US US,3,Providence,SAS
55.0,Harrison Ingram (TW),SF,6-5,230.0,2002-11-27,US US,R,"Stanford, UNC",SAS
27.0,Riley Minix (TW),SF,6-7,230.0,2000-09-22,US US,R,"Southeastern University, Morehead State University",SAS
,Devin Vassell,SG,6-5,200.0,2000-08-23,US US,4,Florida State,SAS
1.0,Gradey Dick,SG,6-6,205.0,2003-11-20,US US,1,Kansas,TOR
19.0,Jakob Poeltl,C,7-0,245.0,1995-10-15,AT AT,8,Utah,TOR
30.0,Ochai Agbaji,SG,6-5,215.0,2000-04-20,US US,2,Kansas,TOR
25.0,Chris Boucher,PF,6-9,200.0,1993-01-11,LC LC,7,"New Mexico Junior College, Northwest College, Oregon",TOR
45.0,Davion Mitchell,PG,6-2,205.0,1998-09-05,US US,3,"Auburn, Baylor",TOR
2.0,Jonathan Mogbo,PF,6-6,225.0,2001-10-29,US US,R,"Missouri State, San Francisco",TOR
23.0,Jamal Shead,PG,6-0,200.0,2002-06-24,US US,R,Houston,TOR
77.0,Jamison Battle (TW),SF,6-7,220.0,2001-05-10,US US,R,"George Washington, Minnesota, Ohio State",TOR
9.0,RJ Barrett,SG,6-6,214.0,2000-06-14,CA CA,5,Duke,TOR
4.0,Scottie Barnes,SF,6-7,227.0,2001-08-01,US US,3,Florida State,TOR
14.0,Ja'Kobe Walter,SG,6-4,180.0,2004-09-04,US US,R,Baylor,TOR
17.0,Garrett Temple,SG,6-5,195.0,1986-05-08,US US,14,LSU,TOR
5.0,Immanuel Quickley,PG,6-3,190.0,1999-06-17,US US,4,Kentucky,TOR
22.0,Ulrich Chomche (TW),PF,6-10,235.0,2005-12-30,CM CM,R,,TOR
,Bruce Brown,PG,6-4,202.0,1996-08-15,US US,6,Miami (FL),TOR
,Kelly Olynyk,C,6-11,240.0,1991-04-19,CA CA,11,Gonzaga,TOR
20.0,John Collins,PF,6-9,235.0,1997-09-23,US US,7,Wake Forest,UTA
3.0,Keyonte George,SG,6-4,185.0,2003-11-08,US US,1,Baylor,UTA
2.0,Collin Sexton,SG,6-3,190.0,1999-01-04,US US,6,Alabama,UTA
24.0,Walker Kessler,C,7-0,245.0,2001-07-26,US US,2,"UNC, Auburn",UTA
28.0,Brice Sensabaugh,SF,6-6,235.0,2003-10-30,US US,1,Ohio State,UTA
5.0,Cody Williams,SG,6-7,190.0,2004-11-20,US US,R,Colorado,UTA
8.0,Patty Mills,PG,6-2,180.0,1988-08-11,AU AU,15,Saint Mary's,UTA
22.0,Kyle Filipowski,C,6-11,250.0,2003-11-07,US US,R,Duke,UTA
0.0,Jordan Clarkson,SG,6-3,194.0,1992-06-07,US US,10,"Tulsa, Missouri",UTA
15.0,Drew Eubanks,C,6-9,245.0,1997-02-01,US US,6,Oregon State,UTA
23.0,Lauri Markkanen,PF,7-0,240.0,1997-05-22,FI FI,7,Arizona,UTA
33.0,Johnny Juzang,SG,6-7,215.0,2001-03-17,US US,2,"Kentucky, UCLA",UTA
0.0,Taylor Hendricks,PF,6-9,210.0,2003-11-22,US US,1,Central Florida,UTA
19.0,Svi Mykhailiuk,SF,6-7,205.0,1997-06-10,UA UA,6,Kansas,UTA
,Micah Potter (TW),C,6-10,248.0,1998-04-06,US US,3,"Ohio State, Wisconsin",UTA
,Isaiah Collier,PG,6-3,210.0,2004-10-08,US US,R,USC,UTA
,Oscar Tshiebwe (TW),PF,6-9,260.0,1999-11-27,CD CD,1,"West Virginia, Kentucky",UTA
13.0,Jordan Poole,SG,6-4,194.0,1999-06-19,US US,5,Michigan,WAS
0.0,Bilal Coulibaly,SF,6-6,195.0,2004-07-26,FR FR,1,,WAS
17.0,Jonas Valančiūnas,C,6-11,265.0,1992-05-06,LT LT,12,,WAS
8.0,Carlton Carrington,PG,6-4,190.0,2005-07-21,US US,R,Pitt,WAS
24.0,Corey Kispert,SF,6-7,220.0,1999-03-03,US US,3,Gonzaga,WAS
20.0,Alex Sarr,PF,7-0,205.0,2005-04-26,FR FR,R,,WAS
18.0,Kyshawn George,SG,6-7,200.0,2003-12-12,CH CH,R,Miami (FL),WAS
4.0,Jared Butler (TW),SG,6-3,195.0,2000-08-25,US US,3,Baylor,WAS
35.0,Marvin Bagley III,PF,6-10,235.0,1999-03-14,US US,6,Duke,WAS
1.0,Johnny Davis,SG,6-5,196.0,2002-02-27,US US,2,Wisconsin,WAS
7.0,Patrick Baldwin Jr.,SF,6-9,220.0,2002-11-18,US US,2,UW-Milwaukee,WAS
16.0,Anthony Gill,PF,6-7,230.0,1992-10-17,US US,4,"South Carolina, Virginia",WAS
33.0,Kyle Kuzma,PF,6-9,221.0,1995-07-24,US US,7,Utah,WAS
22.0,Richaun Holmes,PF,6-10,235.0,1993-10-15,US US,9,Bowling Green,WAS
,Saddiq Bey,SF,6-7,215.0,1999-04-09,US US,4,Villanova,WAS
,Tristan Vukcevic (TW),C,7-0,223.0,2003-03-11,IT IT,1,,WAS
,Malcolm Brogdon,PG,6-4,229.0,1992-12-11,US US,8,Virginia,WAS
